Model,N_features,CV_RMSE,CV_MAE,CV_R2,Test_RMSE,Test_MAE,Test_R2
RandomForest,90,29484.0,22254.0,0.4052,24605.0,18783.0,0.4939
RandomForest,91,29461.0,22247.0,0.4061,24621.0,18783.0,0.4932
RandomForest,92,29464.0,22244.0,0.406,24616.0,18777.0,0.4934
RandomForest,93,29435.0,22218.0,0.4072,24594.0,18757.0,0.4943
RandomForest,94,29433.0,22216.0,0.4072,24603.0,18765.0,0.494
RandomForest,95,29444.0,22225.0,0.4068,24611.0,18761.0,0.4936
RandomForest,96,29443.0,22237.0,0.4069,24600.0,18752.0,0.4941
RandomForest,97,29447.0,22231.0,0.4067,24591.0,18730.0,0.4944
RandomForest,98,29433.0,22235.0,0.4073,24500.0,18679.0,0.4982
RandomForest,99,29462.0,22239.0,0.4061,24463.0,18657.0,0.4997
RandomForest,100,29458.0,22238.0,0.4063,24472.0,18660.0,0.4993
RandomForest,101,29471.0,22239.0,0.4058,24485.0,18678.0,0.4988
RandomForest,102,29465.0,22236.0,0.4061,24481.0,18676.0,0.499
RandomForest,103,29457.0,22229.0,0.4063,24495.0,18696.0,0.4984
RandomForest,104,29461.0,22222.0,0.4062,24465.0,18643.0,0.4996
RandomForest,105,29461.0,22228.0,0.4062,24472.0,18645.0,0.4993
RandomForest,106,29464.0,22231.0,0.4061,24467.0,18645.0,0.4995
RandomForest,107,29471.0,22234.0,0.4058,24442.0,18630.0,0.5006
RandomForest,108,29473.0,22239.0,0.4057,24441.0,18631.0,0.5006
RandomForest,109,29470.0,22232.0,0.4058,24436.0,18615.0,0.5008
RandomForest,110,29477.0,22242.0,0.4056,24427.0,18616.0,0.5012
RandomForest,111,29489.0,22252.0,0.4051,24401.0,18599.0,0.5022
RandomForest,112,29493.0,22258.0,0.4049,24402.0,18602.0,0.5022
RandomForest,113,29481.0,22253.0,0.4054,24401.0,18593.0,0.5022
RandomForest,114,29480.0,22252.0,0.4054,24390.0,18586.0,0.5027
RandomForest,115,29485.0,22264.0,0.4052,24392.0,18587.0,0.5026
RandomForest,116,29491.0,22257.0,0.4049,24424.0,18600.0,0.5013
RandomForest,117,29493.0,22259.0,0.4049,24410.0,18593.0,0.5019
RandomForest,118,29487.0,22249.0,0.4051,24439.0,18617.0,0.5007
RandomForest,119,29471.0,22243.0,0.4058,24451.0,18626.0,0.5002
RandomForest,120,29473.0,22245.0,0.4057,24427.0,18601.0,0.5012
RandomForest,121,29449.0,22228.0,0.4067,24448.0,18586.0,0.5003
RandomForest,122,29453.0,22227.0,0.4065,24431.0,18569.0,0.501
RandomForest,123,29462.0,22236.0,0.4062,24426.0,18575.0,0.5012
RandomForest,124,29458.0,22237.0,0.4063,24446.0,18612.0,0.5004
RandomForest,125,29447.0,22228.0,0.4068,24442.0,18597.0,0.5006
RandomForest,126,29447.0,22229.0,0.4068,24438.0,18599.0,0.5007
RandomForest,127,29449.0,22228.0,0.4067,24452.0,18620.0,0.5001
RandomForest,128,29459.0,22240.0,0.4063,24475.0,18635.0,0.4992
